City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
381,sao jose da coroa grande,-8.8978,-35.1478,24.97,71,100,2.79,BR,1675819845
382,kitimat,54.0524,-128.6534,1.21,31,93,1.23,CA,1675819845
383,iquique,-20.2208,-70.1431,23.02,81,16,1.2,CL,1675819610
384,vila franca do campo,37.7167,-25.4333,13.23,79,92,4.6,PT,1675819846
385,hof,50.3167,11.9167,-5.77,84,5,0.89,DE,1675819846
386,auriflama,-20.6856,-50.5547,21.46,92,100,1.13,BR,1675819846
387,port macquarie,-31.4333,152.9167,24.94,62,85,2.75,AU,1675819847
388,huicungo,-7.2833,-76.8,21.25,97,39,1.13,PE,1675819847
389,ulladulla,-35.35,150.4667,19.76,83,100,1.79,AU,1675819848
390,tanabe,33.7333,135.3667,11.56,66,20,7.2,JP,1675819848
391,xining,36.6167,101.7667,-2.32,84,100,0.85,CN,1675819848
392,fremont,37.5483,-121.9886,15.74,63,0,4.12,US,1675819847
393,bengkulu,-3.8004,102.2655,25.35,73,86,2.22,ID,1675819792
394,quang ngai,15.1167,108.8,25.17,80,63,1.6,VN,1675819849
395,meulaboh,4.1363,96.1285,26.0,76,89,0.97,ID,1675819850
396,kodinsk,58.6881,99.1844,-13.53,96,100,1.3,RU,1675819850
397,anchorage,61.2181,-149.9003,-0.38,86,100,2.57,US,1675819699
398,san quintin,30.4833,-115.95,15.15,51,0,2.01,MX,1675819850
399,coquimbo,-29.9533,-71.3436,17.85,88,100,1.54,CL,1675819567
400,mangrol,21.1167,70.1167,20.21,58,12,3.27,IN,1675819851
401,shache,38.4167,77.2406,-2.42,66,0,2.28,CN,1675819852
402,xai-xai,-25.0519,33.6442,22.9,95,69,2.3,MZ,1675819852
403,diepholz,52.6,8.3667,-1.43,58,94,1.63,DE,1675819802
404,labrea,-7.2586,-64.7981,22.73,96,73,0.63,BR,1675819853
405,flinders,-34.5833,150.8552,22.32,88,100,0.89,AU,1675819674
406,ludwigslust,53.3167,11.5,-2.88,52,92,2.43,DE,1675819853
407,bogale,16.2833,95.4,23.75,53,5,4.94,MM,1675819854
408,juneau,58.3019,-134.4197,2.34,94,100,1.54,US,1675819854
409,lata,40.1629,-8.3327,8.29,80,33,2.1,PT,1675819855
410,tinskoy,56.1525,96.9161,-7.46,96,100,1.9,RU,1675819855
411,te anau,-45.4167,167.7167,14.39,46,50,5.28,NZ,1675819856
412,malakal,9.5334,31.6605,23.54,16,0,4.48,SS,1675819856
413,mehamn,71.0357,27.8492,0.97,86,22,10.8,NO,1675819857
414,marsabit,2.3284,37.9899,19.71,43,2,2.25,KE,1675819857
415,santa marta,11.2408,-74.199,28.03,61,18,9.77,CO,1675819795
416,hervey bay,-25.2986,152.8535,26.93,60,71,8.67,AU,1675819858
417,wokha,26.1,94.2667,9.61,51,8,0.92,IN,1675819858
418,champerico,14.3,-91.9167,25.92,70,7,2.94,GT,1675819859
419,cuenca,-2.8833,-78.9833,16.07,63,75,2.06,EC,1675819759
420,vestmannaeyjar,63.4427,-20.2734,0.26,62,100,15.72,IS,1675819735
421,iskateley,67.6803,53.1512,1.38,92,100,9.43,RU,1675819859
422,sur,22.5667,59.5289,22.48,56,27,3.49,OM,1675819860
423,muroto,33.2833,134.15,12.14,64,18,2.95,JP,1675819713
424,mastic beach,40.7668,-72.8521,5.55,84,20,6.26,US,1675819860
425,kalianget,-7.05,113.9333,26.54,85,99,5.25,ID,1675819861
426,tosno,59.54,30.8775,-1.1,88,100,4.43,RU,1675819861
427,aklavik,68.2191,-135.0107,-29.14,95,100,3.61,CA,1675819567
428,rawson,-43.3002,-65.1023,18.65,60,3,2.85,AR,1675819852
429,denpasar,-8.65,115.2167,28.81,79,20,3.09,ID,1675819778
430,santa maria da vitoria,-13.3947,-44.1886,21.73,64,57,0.78,BR,1675819864
431,puerto escondido,15.85,-97.0667,27.46,65,20,0.0,MX,1675819865
432,okhotsk,59.3833,143.3,-24.01,80,89,5.4,RU,1675819868
433,saint-gaudens,43.0833,0.6667,3.34,81,62,1.1,FR,1675819872
434,barra patuca,15.8,-84.2833,24.04,85,17,5.32,HN,1675819873
435,alberton,46.8168,-64.0654,-5.05,94,42,2.32,CA,1675819875
436,tigil,57.8,158.6667,-20.72,92,100,3.97,RU,1675819877
437,camacha,33.0833,-16.3333,13.68,67,40,6.69,PT,1675819885
438,mikhaylovskoye,51.8239,79.7172,-21.45,100,100,1.33,RU,1675819893
439,isla vista,34.4133,-119.861,17.22,60,40,0.0,US,1675819903
440,portobelo,9.55,-79.65,23.95,85,95,7.64,PA,1675819911
441,capitan bado,-23.2667,-55.5333,22.06,70,96,1.43,PY,1675819912
442,katangli,51.7102,143.2326,-16.29,89,100,4.74,RU,1675819912
443,alice springs,-23.7,133.8833,32.75,40,0,4.63,AU,1675819913
444,svetlaya,46.5389,138.3297,-7.6,48,4,5.08,RU,1675819913
445,tres lagoas,-20.7511,-51.6783,21.8,84,100,1.03,BR,1675819914
446,jiayuguan,39.8167,98.3,-2.38,56,96,0.61,CN,1675819914
447,princeton,25.5384,-80.4089,23.34,74,0,4.63,US,1675819831
448,leningradskiy,69.3833,178.4167,-31.1,96,100,2.22,RU,1675819737
449,puerto carreno,6.189,-67.4859,27.97,52,10,2.61,CO,1675819915
450,warmbad,-28.45,18.7333,22.34,48,53,2.33,NA,1675819915
451,kaseda,31.4167,130.3167,13.28,57,56,5.06,JP,1675819916
452,stephenville,32.2207,-98.2023,7.88,98,100,6.17,US,1675819842
453,sao gabriel da cachoeira,-0.1303,-67.0892,22.62,98,100,0.27,BR,1675819916
454,ostrovnoy,68.0531,39.5131,-0.13,76,5,11.07,RU,1675819692
455,traralgon,-38.1833,146.5333,25.52,32,24,2.18,AU,1675819813
456,norman wells,65.282,-126.8329,-21.98,71,75,0.0,CA,1675819917
457,sinnamary,5.3833,-52.95,24.03,91,65,4.34,GF,1675819918
458,buraydah,26.326,43.975,8.25,42,100,2.85,SA,1675819706
459,guarapari,-20.6667,-40.4975,26.05,92,100,3.17,BR,1675819918
460,kartuzy,54.3342,18.1974,-1.45,91,100,4.63,PL,1675819919
461,eureka,40.8021,-124.1637,13.44,81,98,1.83,US,1675819919
462,lavrentiya,65.5833,-171.0,-25.72,92,97,1.24,RU,1675819919
463,kaabong,3.4836,34.1492,19.64,41,0,2.13,UG,1675819920
464,muravlenko,63.7898,74.523,-25.13,100,94,4.46,RU,1675819920
465,north platte,41.1239,-100.7654,1.32,82,0,3.13,US,1675819920
466,padang,-0.9492,100.3543,28.05,58,79,0.55,ID,1675819921
467,san ramon,37.7799,-121.978,13.83,64,0,4.12,US,1675819921
468,vagur,61.4732,-6.8119,7.79,81,100,25.66,FO,1675819922
469,port moresby,-9.4431,147.1797,25.68,94,100,5.14,PG,1675819922
470,alyangula,-13.8483,136.4192,30.31,65,100,1.8,AU,1675819923
471,casma,-41.0082,-73.1244,19.6,88,0,2.03,CL,1675819923
472,mount gambier,-37.8333,140.7667,22.48,44,18,4.76,AU,1675819924
473,lasa,46.6166,10.7002,-4.99,79,30,0.23,IT,1675819924
474,grand gaube,-20.0064,57.6608,26.22,80,32,3.13,MU,1675819924
475,tandil,-37.3217,-59.1332,24.27,38,99,3.88,AR,1675819629
